id,target_species,species_taxon,candidate,platform,developer_sponsor,stage_order,stage,status_type,active_status,regulatory_status,target_use,evidence_summary,next_milestone,development_geography,source_1,source_url_1,source_2,source_url_2,source_3,source_url_3,notes,automation_method,last_checked_utc,supporting_record_count
zaire-ervebo-rvsv,Zaire,Orthoebolavirus zairense,Ervebo / rVSV-ZEBOV (V920),Replication-competent recombinant VSV vector expressing EBOV GP,Merck/MSD; platform lineage from PHAC/NewLink/Merck,7,Stockpile / deployed / post-licensure,Current outbreak-response product,Licensed; WHO-prequalified; current global stockpile product for Zaire Ebola virus disease,FDA-approved and EU-authorised for disease caused by Ebola virus / Orthoebolavirus zairense; not authorised for other orthoebolaviruses.,Outbreak ring vaccination and vaccination of people at risk of exposure to Zaire ebolavirus.,Supported by Guinea ring-vaccination evidence and subsequent outbreak use; CDC and EMA describe single-dose Zaire-only indication.,"Maintain stockpile/access, post-licensure safety/effectiveness monitoring, and avoid extrapolating protection to non-Zaire species without evidence.",Global stockpile; used in African outbreak response; US/EU regulatory files.,CDC Ebola Vaccine Product Information,https://www.cdc.gov/ebola/hcp/vaccines/index.html,WHO Ebola virus disease vaccines Q&A,https://www.who.int/news-room/questions-and-answers/item/ebola-vaccines,EMA Ervebo EPAR,https://www.ema.europa.eu/en/medicines/human/EPAR/ervebo,Use this as the positive-control pathway: all stages from clinical efficacy to stockpile are complete for Zaire only.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
zaire-zabdeno-mvabea,Zaire,Orthoebolavirus zairense,Zabdeno + Mvabea / Ad26.ZEBOV + MVA-BN-Filo,Heterologous prime-boost: Ad26 vector prime + MVA vector boost,Janssen / Johnson & Johnson; MVA-BN-Filo developed by Bavarian Nordic,6,Regulatory authorization / WHO prequalification,Formerly authorised / access uncertain,Former EU-authorised regimen; EMA records show EU marketing authorisations withdrawn on 1 May 2026 for commercial reasons.,Previously EU-authorised under exceptional circumstances for prevention of disease caused by Ebola virus; not marketed in the EU; current procurement/PQ status should be verified before operational use.,"Preventive vaccination of people at risk, including responders; two-dose regimen is less suited to rapid ring vaccination than a one-dose product.","WHO Q&A described the regimen as safe and immunogenic in 3,367 participants, with human efficacy extrapolated from animal studies; EMA now lists both components as withdrawn.","Clarify post-withdrawal availability, WHO prequalification status, and any national procurement route.",EU regulatory pathway; Europe/Africa/US clinical studies.,EMA Zabdeno EPAR,https://www.ema.europa.eu/en/medicines/human/EPAR/zabdeno,EMA Mvabea EPAR,https://www.ema.europa.eu/en/medicines/human/EPAR/mvabea,WHO Ebola virus disease vaccines Q&A,https://www.who.int/news-room/questions-and-answers/item/ebola-vaccines,"The MVA-BN-Filo component contains filovirus inserts beyond Zaire, but the regimen was indicated for Ebola virus disease caused by Zaire Ebola virus.",Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
zaire-chadox1-biebov,Zaire,Orthoebolavirus zairense,ChAdOx1 biEBOV,Replication-deficient ChAdOx1 adenoviral vector encoding EBOV and SUDV glycoproteins,University of Oxford / Jenner Institute,3,Phase 1 safety / immunogenicity,Early clinical / bivalent,Phase 1 human testing completed/published for bivalent Zaire + Sudan candidate; no Zaire indication or late-stage pathway.,Investigational; no licensure.,Potential multivalent prophylaxis against Zaire and Sudan ebolaviruses.,Oxford described the first-in-human Phase 1 study as testing immune response and safety against Zaire and Sudan species; published results reported acceptable safety/tolerability.,Determine whether the candidate advances to larger trials and how it compares with licensed Zaire vaccine availability.,United Kingdom; Tanzania trial planned/early-stage context.,University of Oxford news: Ebola vaccine to begin human trials,https://www.ox.ac.uk/news/2021-11-11-ebola-vaccine-begin-human-trials,ClinicalTrials.gov NCT05079750,https://clinicaltrials.gov/study/NCT05079750,PubMed record for ChAdOx1 biEBOV phase 1 publication,https://pubmed.ncbi.nlm.nih.gov/39922207/,Shown in both Zaire and Sudan lanes because it is bivalent.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
sudan-iavi-rvsv,Sudan,Orthoebolavirus sudanense,IAVI rVSV∆G-SEBOV-GP / Tokemeza SVD,Replication-competent recombinant VSV vector expressing Sudan virus GP,IAVI; WHO-led outbreak efficacy trial with Uganda partners,5,Phase 3 / outbreak efficacy trial,Active efficacy trial,WHO-led ring-vaccination efficacy trial launched in Uganda in February 2025; candidate had Phase 1 safety and immunogenicity data.,Investigational; no licensed vaccine for Sudan virus disease.,One-dose rapid outbreak response for contacts and contacts-of-contacts in Sudan virus disease outbreaks.,"WHO launched the first clinical efficacy trial for a Sudan-species Ebola vaccine; IAVI reports rVSV∆G-SEBOV-GP is safe, well-tolerated and immunogenic in Phase 1 and uses the same vector platform as Ervebo.","Publish Tokemeza efficacy/safety results, complete late-stage manufacturing package, and define licensure/emergency-use pathway.",Uganda outbreak trial; IAVI manufacturing/development partners.,WHO: Uganda Sudan vaccine efficacy trial,https://www.who.int/news/item/03-02-2025-groundbreaking-ebola-vaccination-trial-launches-today-in-uganda,IAVI fast facts on 2025 SVD outbreak contributions,https://www.iavi.org/features/fast-facts-about-iavis-contributions-to-the-2025-sudan-virus-disease-outbreak-in-uganda/,IAVI Dutch government support for Sudan vaccine development,https://www.iavi.org/features/iavi-receives-e1-million-from-dutch-government-for-sudan-virus-vaccine-development/,This is the most advanced Sudan-specific clinical efficacy pathway represented in the dashboard.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
sudan-sabin-cad3,Sudan,Orthoebolavirus sudanense,Sabin cAd3-Sudan ebolavirus vaccine,Chimpanzee adenovirus type 3 vector,Sabin Vaccine Institute; BARDA-supported program,4,Phase 2 dose / safety / immunogenicity,Active Phase 2,Phase 2 program underway/completed enrollment across African and US studies; preliminary planning for larger Phase 3.,Investigational; no licensed vaccine for Sudan virus disease.,"Potential prophylaxis for responders, healthcare workers, and at-risk populations.",Sabin reports Phase 2 trials for cAd3-Sudan in Uganda/Kenya/US and completed enrollment in all six Phase 2 cAd3-Marburg/cAd3-Sudan trials with no significant safety concerns reported.,"Initial immunogenicity findings, Phase 2 completion, and Phase 3 design.","Uganda, Kenya, United States.",Sabin Sudan Ebolavirus Vaccine Development Program,https://www.sabin.org/vaccine-research-and-development/sudan-ebolavirus-vaccine-development-program/,"Sabin enrollment completion announcement, March 2026",https://www.sabin.org/resources/sabin-vaccine-institute-completes-enrollment-in-all-phase-2-clinical-trials-for-cad3-marburg-vaccine-and-cad3-sudan-ebolavirus-vaccine/,,,A separate active pathway from the IAVI rVSV outbreak-efficacy route.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
sudan-chadox1-biebov,Sudan,Orthoebolavirus sudanense,ChAdOx1 biEBOV,Replication-deficient ChAdOx1 adenoviral vector encoding EBOV and SUDV glycoproteins,University of Oxford / Jenner Institute,3,Phase 1 safety / immunogenicity,Early clinical / bivalent,Phase 1 human testing completed/published for bivalent Zaire + Sudan candidate; not licensed.,Investigational; no licensure.,Potential multivalent prophylaxis against Zaire and Sudan ebolaviruses.,Oxford described the study as assessing immune response and safety against Zaire and Sudan species; a clinical trial record describes first-in-human Phase 1 safety/immunogenicity assessment.,Clarify continuation into larger clinical studies and nonhuman-primate/field-efficacy strategy for Sudan.,United Kingdom; Tanzania trial context.,University of Oxford news: Ebola vaccine to begin human trials,https://www.ox.ac.uk/news/2021-11-11-ebola-vaccine-begin-human-trials,ClinicalTrials.gov NCT05079750,https://clinicaltrials.gov/study/NCT05079750,PubMed record for ChAdOx1 biEBOV phase 1 publication,https://pubmed.ncbi.nlm.nih.gov/39922207/,Shown in both Zaire and Sudan lanes because it is bivalent.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
taiforest-mvabn-antigen,Taï Forest,Orthoebolavirus taiense,MVA-BN-Filo Taï Forest antigen component,Modified Vaccinia Ankara vector with multivalent filovirus inserts,Bavarian Nordic / Janssen regimen component,3,Phase 1 safety / immunogenicity,Antigen-only / no disease indication,"Clinical exposure occurred as a component of MVA-BN-Filo, but no dedicated Taï Forest vaccine indication or efficacy pathway was identified.",Not authorised for Taï Forest virus disease; Mvabea EU authorisation withdrawn as part of the Zaire regimen in 2026.,No defined clinical-use pathway for Taï Forest virus disease.,EBOVAC states MVA-BN-Filo contained Tai Forest nucleoprotein inserts; CDC reports only one documented human Taï Forest event in 1994.,"Only pursue a dedicated pathway if risk assessment changes; define relevant antigen, animal model, and use case.",Historical EBOVAC/Janssen-Bavarian Nordic program.,EBOVAC vaccine development page,https://www.ebovac.org/sample-page/vaccine-development/,CDC Ebola outbreak history,https://www.cdc.gov/ebola/outbreaks/index.html,EMA Mvabea EPAR,https://www.ema.europa.eu/en/medicines/human/EPAR/mvabea,This is deliberately labeled antigen-only to avoid implying a validated Taï Forest disease vaccine.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
taiforest-dedicated-gap,Taï Forest,Orthoebolavirus taiense,Dedicated Taï Forest virus disease vaccine pathway,No dedicated human vaccine pathway identified,None identified,0,No dedicated clinical pathway identified,Gap,No dedicated human vaccine clinical-development pathway identified in the curated sources.,No licensed vaccine for Taï Forest virus disease.,Not defined.,CDC lists Taï Forest as a human-disease-causing orthoebolavirus and records a single 1994 human case; WHO says licensed vaccines are only for Zaire Ebola virus disease.,"Risk prioritization, target product profile, and preclinical feasibility if a public-health need emerges.",Not applicable.,CDC Ebola Disease Basics,https://www.cdc.gov/ebola/about/index.html,WHO Ebola virus disease vaccines Q&A,https://www.who.int/news-room/questions-and-answers/item/ebola-vaccines,CDC Ebola outbreak history,https://www.cdc.gov/ebola/outbreaks/index.html,Gap row included so the Taï Forest map is explicit rather than empty.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
bundibugyo-iavi-rvsv,Bundibugyo,Orthoebolavirus bundibugyoense,IAVI rVSV∆G/BDBV-GP,Replication-competent recombinant VSV vector expressing Bundibugyo virus GP,IAVI; technology from UTMB/NIAID research lineage; CEPI-supported,2,Preclinical + CMC / clinical-enabling,Active clinical-enabling,WHO-prioritized as most promising BDBV vaccine candidate; not yet evaluated in humans; manufacturing and GMP transfer steps underway.,Investigational; no licensed vaccine for Bundibugyo virus disease.,Potential one-dose outbreak response vaccine for BDBV contacts and high-risk populations.,WHO says the rVSV Bundibugyo candidate likely needs 7–9 months before clinical-trial assessment; IAVI reports protective efficacy in nonhuman-primate studies and CEPI support for early development.,"Master virus seed, GMP manufacturing, clinical-trial authorization, and field-efficacy protocol.",IAVI/UTMB/NIAID lineage; intended for DRC/Uganda outbreak evaluation.,WHO Bundibugyo vaccine prioritization announcement,https://www.who.int/news/item/28-05-2026-experts-convened-by-who-advise-on-candidate-treatments-and-vaccines-for-ebola-disease-caused-by-bundibugyo-virus,IAVI Bundibugyo CEPI funding announcement,https://www.iavi.org/press-release/iavi-vaccine-candidate-bundibugyo-virus-cepi-funding/,CEPI Bundibugyo portfolio announcement,https://cepi.net/cepi-fast-tracks-three-bundibugyo-ebolavirus-vaccine-candidates,Highest-priority Bundibugyo-specific vaccine candidate in current WHO/CEPI sources.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
bundibugyo-chadox1,Bundibugyo,Orthoebolavirus bundibugyoense,ChAdOx1 Bundibugyo,Replication-deficient ChAdOx1 adenoviral vector,University of Oxford; Serum Institute of India manufacturing; CEPI-supported,2,Preclinical + CMC / clinical-enabling,Active clinical-enabling,"Could potentially become available for efficacy assessment within 2–3 months, but WHO noted additional animal data are required.",Investigational; no licensed vaccine for Bundibugyo virus disease.,"Potential single-dose strategy for contacts; possible two-dose strategy for high-risk unexposed groups, subject to evidence.","WHO identified ChAdOx1 Bundibugyo as a candidate for prioritization; CEPI is funding preclinical testing, master virus seed creation, and clinical-grade dose manufacturing at SII.","Generate additional animal data, release clinical-grade doses, and obtain trial authorization.",University of Oxford / Serum Institute of India; intended for DRC/Uganda clinical evaluation.,WHO Bundibugyo vaccine prioritization announcement,https://www.who.int/news/item/28-05-2026-experts-convened-by-who-advise-on-candidate-treatments-and-vaccines-for-ebola-disease-caused-by-bundibugyo-virus,CEPI Bundibugyo portfolio announcement,https://cepi.net/cepi-fast-tracks-three-bundibugyo-ebolavirus-vaccine-candidates,,,Displayed at clinical-enabling stage because human clinical testing has not yet begun in the cited sources.,Bootstrap row; regenerated by scripts/fetch_pipeline.py on scheduled/manual GitHub Actions run,,
